#viewing_angle sample_fraction/bin
0.2958658988070795 0.018698555121349242
0.8454339777869233 0.056170511106540505
1.1889140271493233 0.0873241515837104
1.91880913204443 0.10759591474701768
2.3567461949814934 0.11361926676264911
2.820444261620736 0.10740914747017688
3.2841423282599784 0.09293403948992184
3.833710407239824 0.07462912895927601
4.263060468942825 0.059305625257095845
4.726758535582068 0.04589315867955572
5.241978609625672 0.036232782291238164
5.880851501439739 0.028337292266556985
6.581550802139041 0.020332446781160002
7.611990950226247 0.013506854175236505
8.745475113122176 0.008890482311805809
9.8789592760181 0.0062834687371451925
11.081139448786509 0.004116682092417362
12.248971616618679 0.003004951665981026
13.416803784450842 0.002068777709218844
14.618983957219253 0.0012291598107773971
15.731859317153436 0.0009150473056354913
16.920300287947345 0.0005607094702682613
18.122480460715753 0.0004443078979843307
19.000000000000000 0.0000000000000000000
30.000000000000000 0.0000000000000000000
