#lorentzfactor sample_fraction/bin
1.544537675905353 0.01111681869566912
2.6352814485635196 0.024543610883717308
3.823186371964292 0.03212022765368573
4.819942599306124 0.04005961193622579
6.3587227336262515 0.046378155715566555
7.521727060605553 0.04985754325587094
9.384156823763302 0.05161332592679219
10.8527712158422 0.047968334307878224
12.311946166140412 0.0429829419561065
14.263078782208705 0.037126126378981016
16.26719162151275 0.03093367897192012
18.175011304720694 0.0267852504580361
20.132100534050593 0.02177427396405878
22.10767804935095 0.019388634077885616
24.07749425018516 0.016184887537519968
26.051965072311226 0.013642097220597962
28.031481113320076 0.011815727985030985
30.011290102522125 0.010030957392897485
31.99282423108408 0.008491156589872512
33.983342104237316 0.008227047518808706
35.96637352356449 0.006899862004443882
38.04351364579408 0.0058380730865352365
40.03302970845947 0.005431706926198765
41.90887463887697 0.004601687045483069
43.99891533154017 0.00406197520757802
45.98547026663548 0.003235128932288611
47.97495468366272 0.0028242690913343055
49.466956106498266 0.0025002358398627383
50.0 0.00
