#name	ra	dec	avgflux	peakflux
TXS0700-197	105.67875	-19.85612	1339.666667	1481
PKS0627-199	97.34901	-19.98881	1331.666667	1585
PKS2201+171	330.86206	17.43007	1330.214286	1989
3C371	271.71118	69.82447	1292.142857	1605
S41144+40	176.7429	39.9762	1268.333333	1571
PKSB2258-022	345.28323	-1.96794	1259	1348
OV591	298.9281	51.53015	1256.363636	1429
OP-050	203.0186	-5.16203	1248.222222	1669
S30458-02	75.30337	-1.98729	1243.181818	1732
NRAO512	250.12347	39.77945	1236.777778	1852
4C+51.37	265.1541	52.1954	1235.5	1569
PKS0805-07	122.06473	-7.85275	1225.75	2297
4C+49.22	178.35194	49.51912	1223.428571	2259
TXS0529+483	83.31611	48.38134	1223.3125	2103
TXS0752-116	118.61023	-11.78804	1212.333333	1380
OE+110	47.2651	10.48787	1204.5	1324
MG1J021114+1051	32.80491	10.85967	1196.571429	1790
S51150+81	178.30208	80.97476	1195.714286	1802
4C+19.44	209.2685	19.31871	1190	1190
PKS2209+236	333.02487	23.92793	1177.545455	1900
OJ425	124.56666	42.37928	1170.111111	1995
DA580	336.40854	21.30179	1166.2	1595
PKS0403-13	61.3917	-13.13716	1161.066667	1811
PKS2320-035	350.88315	-3.28471	1157.909091	1399
TXS1742-078	266.36295	-7.88443	1152.857143	1377
OK492	149.58197	47.41884	1143.5	1719
S40954+65	149.69685	65.56523	1131.064516	2556
4C+41.11	65.98337	41.83409	1127.75	1479
B31758+388B	270.10318	38.80853	1124.875	1384
4C+40.24	147.23058	40.66239	1120.47619	1835
OB-082	12.78421	-6.83395	1115.4	1228
NGC1052	40.26999	-8.25576	1079.833333	1555
PKS1236+077	189.85245	7.50477	1074.5	1174
OK630	140.40096	62.26449	1067.157895	1407
4C+45.51	358.59033	45.88451	1059.588235	1804
S41726+45	261.8652	45.51104	1058.888889	2183
4C+39.23	126.23118	39.27831	1053	1386
PKSB1406-076	212.23534	-7.87407	1038.222222	1611
PKS0113-118	19.05219	-11.6043	1028.666667	1131
TXS2331+073	353.55344	7.60765	1021.214286	1529
3C119	68.1521	41.64124	1020	1177
4C+15.05	31.21006	15.2364	1016.363636	1601
B21040+24A	160.78764	24.14317	1014.3	1236
4C+31.56	305.82925	31.88397	1013.666667	1273
TXS0831+557	128.72876	55.57252	1012	1012
PKS1243-072	191.51762	-7.51294	992.3333333	1231
S41800+44	270.38464	44.07275	990.6153846	1735
3C207	130.19827	13.20655	989.8571429	1348
4C+14.60	235.20622	14.79608	978.1818182	1273
PKS2023-07	306.41943	-7.59797	977.1428571	1726
OT355	263.58575	38.96429	974.75	1287
4C+47.44	249.43803	47.29273	973	1255
PKS0149+21	28.07525	22.11881	972.4285714	1213
OK290	149.20781	25.25446	961.2	1383
S41926+61	291.87683	61.29247	948.2857143	1247
IIIZw2	2.62919	10.97486	942.3076923	1888
3C395	285.7331	31.99492	941.3846154	1179
OQ530	214.94415	54.38744	928.3478261	1167
4C+67.05	37.20855	67.35084	926.9444444	1358
B20109+35	18.05394	35.37204	923.2	1181
PKS2126-158	322.30072	-15.64473	919.3333333	1245
PKS0502+049	76.3466	4.9952	918.6666667	982
4C+04.42	185.5939	4.2211	917.4	1178
S52007+77	301.37918	77.87869	913.4285714	1130
PKS1244-255	191.695	-25.79705	905.0909091	1314
PKSB1413+135	213.99507	13.33992	881.6	1368
OX169	325.89813	17.73022	878.2857143	1131
PKS0422+00	66.19518	0.60176	876.9411765	1745
B22308+34	347.7722	34.4197	876.2857143	1159
OC-270	26.26414	-27.55954	873	1235
OJ508	122.16528	49.84348	869.8181818	1612
3C309.1	224.78157	71.67218	861.2222222	1299
OI158	114.53081	17.70528	857.3043478	1431
PKS1514+00	229.16759	0.25053	855.6666667	950
S50014+813	4.28531	81.58559	855.3333333	882
PKS0823-223	126.50655	-22.50756	853.3333333	1226
S30745+24	117.15046	24.0067	842.9	1155
Mrk501	253.46758	39.76017	834.8333333	1145
PMNJ0643+0857	100.86019	8.96056	833	1141
B31417+385	214.94423	38.36347	830.6923077	1668
PKS0414-189	64.15229	-18.85227	830.4166667	1142
NRAO128	48.25818	41.33366	829.875	944
OQ208	211.75163	28.45408	825.375	1132
UM321	21.37018	-0.09887	821	988
PMNJ2345-1555	356.30194	-15.91884	819	1179
4C+14.23	111.32003	14.42049	817.2	1203
NGC6251	248.13321	82.53789	812.3	897
PKS1532+01	233.71857	1.51784	809.3333333	1297
PKSB0859-140	135.57014	-14.25859	801.5714286	995
PKS1514+197	229.23665	19.53694	799.7142857	909
TXS1827+062	277.52475	6.3211	790.8571429	847
OY-156	339.14203	-14.55616	789.25	1204
PMNJ0850-1213	132.54015	-12.22649	786.7272727	1618
PKS1725+044	262.10397	4.45136	780.9333333	1206
S40646+60	102.63023	60.02904	776.8	827
B22155+31	329.3701	31.45038	773.8333333	991
OJ014	122.86128	1.78117	764.75	1235
PKSB1345+125	206.889	12.29008	761.8	867
TXS1951-115	298.67148	-11.38962	761	1032
PKS2144+092	326.79236	9.4963	759.8	1298
PKS0048-09	12.67216	-9.48478	744	1167
TXS0730+504	113.46884	50.36918	741.7692308	1336
PKS1725+123	262.0294	12.26097	736	1010
OT129	259.80438	17.75179	735.2	938
3C66A	35.66505	43.03552	734.55	1094
4C-00.47	177.6828	-0.39839	732.1666667	837
VIPS0700	206.38821	44.88321	722.2727273	897
PKS0539-057	85.40868	-5.69706	721.8333333	858
PKS1936-15	294.86108	-15.42863	715.4285714	855
OJ049	127.95365	4.49419	715.3181818	1366
PKSB1149-084	178.07172	-8.68425	714	714
PKS1128-047	172.87715	-5.00546	703.6	759
PKS1508-05	227.7233	-5.71873	695.6666667	857
B22113+29	318.87256	29.56066	693	821
OC-228	19.73859	-21.69171	692.625	922
B30248+430	42.8939	43.2544	687	687
CRATESJ1239+0443	189.88647	4.71812	684.4545455	1123
NGC315	14.45368	30.35245	670.6666667	697
PKS1145-071	176.96481	-7.41143	664.3333333	755
S40707+47	107.6921	47.53643	662	700
4C+54.15	118.25577	53.88323	661.4	751
4C+47.29	135.7666	46.8512	660	660
4C+31.03	18.20972	32.13818	640.4444444	820
TXS0536+145	84.92652	14.56266	638.4	804
OT+465	264.98804	47.63288	638	826
